序号	单词	音标	词性（中文）	中文释义	出现次数	首次出现故事	例句
1938	innovate	/ˈɪnəveɪt/	verb	创新	5	81	他明白，建筑不仅是职业，更是城市的shape(塑造者)。他开始研究各种建筑风格，学习不同的设计技巧。他希望通过持续设计，为城市带来更多美好空间。艺术在此传递，他respect(尊重)建筑传统，innovate(创新)设计方法，share(分享)创作理念。
1939	origin	/ˈɒɹ.ə.dʒən/	noun	初衷	6	81	李明回想起自己选择建筑设计的origin(初衷)。小时候，他总是被城市里的各种建筑所吸引。那些unique(独特)的造型、clever(巧妙)的空间、reasonable(合理)的功能，都让他感到fascinate(着迷)。大学时，他choose(选择)了建筑学专业，开始了professional(...
1940	scrutinize		verb	推敲	4	81	今天的工作是完成一座商业建筑的design(设计)方案。李明注意到建筑外观还不够creative(创新)，需要反复调整。他反复scrutinize(推敲)方案，寻找最优的设计表达。这是一个需要patience(耐心)的过程。他never(从不)放弃对完美的追求，always(总是)力求更好的方案。
1941	shape	/ʃeɪp/	noun, verb	塑造	2	81	建筑设计工作室里，建筑师李明正design(设计)着新的建筑方案。作为一名architect(建筑师)，他每天都在shape(塑造)城市的空间形态。窗外的城市天际线magnificent(宏伟)，映照着他passion(热情)的内心。每一个设计都需要careful(仔细)的考量，每一座建筑都承载着城...
1942	significance	/sɪɡˈnɪfɪkəns/	noun	意义	6	81	他深知建筑设计的significance(意义)。工作室里busy(忙碌)而充满创意，李明focus(专注)于设计方案。他early(早早)来到工作室，每天都很intense(紧张)。他always(总是)保持高度的create(创作)passion(热情)，believe(相信)设计可以改变城市。
1943	harmonious	/hɑːˈməʊnɪəs/	adjective	和谐	2	83	他try(尝试)不同的布局方式，寻找最佳表达。设计过程中，陈明遇到了一个difficulty(难题)。色彩搭配不够harmonious(和谐)，影响整体效果。他worried(担忧)地思考解决方案，尝试了多种色彩组合。
1944	convenient	/kənˈviːniənt/	adjective	便捷	1	84	张伟回想起自己选择城市规划的origin(初衷)。小时候，他总是被城市的发展所吸引。那些reasonable(合理)的布局、convenient(便捷)的交通、beautiful(美丽)的环境，都让他感到fascinate(着迷)。大学时，他choose(选择)了城市规划专业，开始了professi...
1945	magnitude	/ˈmæɡnɪtjuːd/	noun	重大	1	84	他深知城市规划的magnitude(重大)责任。办公室里busy(忙碌)而有序，张伟focus(专注)于规划方案。他early(早早)来到办公室，每天都很intense(紧张)。他always(总是)保持高度的responsibility(责任感)，believe(相信)规划可以改变城市。
1946	rigor	/ɹɪɡɚ/	noun	严谨	1	85	"刘芳开始培养年轻的工程师，传授设计技巧和工程理念。她告诉他们：""桥梁工程需要rigor(严谨)和devotion(奉献)。我们用设计的能力跨越障碍，用桥梁的方式服务交通。""她的指导帮助了许多新人成长。传承在此延续，她patient(耐心)地讲解，encourage(鼓励)技术精神。年轻工程师都受到她..."
1947	wide	/wɑed/	noun, adjective, adverb	宽阔	1	85	桥梁工程公司的设计室里，工程师刘芳正design(设计)着新的桥梁方案。作为一名桥梁工程师，她每天都在为交通建设contribute(贡献)力量。窗外的河流wide(宽阔)，映照着她passion(热情)的内心。每一座桥梁都需要meticulous(细致)的计算，每一项工程都承载着交通的value(...
1948	attracted	/əˈtɹæktɪd/	verb, adjective	被吸引	2	87	顾琛发现，苏瑶并不像其他女人那样对他百般讨好。她的独立和自信，让他越来越attracted(被吸引)。相处需要时间，他slowly(慢慢)了解她，gradually(逐渐)改变看法。他有些nervous(紧张)但也充满curious(好奇)，spend(花费)时间了解真实的她。
1949	complexity	/kəmˈplɛk.sɪ.ti/	noun	复杂	1	87	他深知这场契约婚姻背后的complexity(复杂)。办公室里tense(紧张)而庄重，顾琛stare(注视)着文件。他表面calm(冷静)，内心却有些disturbed(波动)。他always(总是)保持着霸总的威严，但此刻却感到一丝nervous(紧张)。
1950	disturbed	/dɪsˈtɜːbd/	verb, adjective	波动	1	87	他深知这场契约婚姻背后的complexity(复杂)。办公室里tense(紧张)而庄重，顾琛stare(注视)着文件。他表面calm(冷静)，内心却有些disturbed(波动)。他always(总是)保持着霸总的威严，但此刻却感到一丝nervous(紧张)。
1951	wonder	/ˈwʌndə/	noun, verb	疑惑	2	87	顾琛回想起与苏瑶的相遇。那是一次accidental(偶然)的商业场合，她的聪明和独立impress(印象深刻)了他。家族的pressure(压力)让他需要一个suitable(合适)的妻子，而她的出现正好solve(解决)了这个问题。他wonder(疑惑)自己的变化。
1952	diligence	/ˈdɪlɪdʒəns/	noun	勤奋	2	88	"张悦开始培养新入职的同事，传授工作技巧和职场经验。她告诉他们：""职场需要diligence(勤奋)和learning(学习)。我们用努力赢得机会，用能力证明自己。""她的指导帮助了许多新人成长。传承在此延续，她patient(耐心)地讲解，encourage(鼓励)进步精神。年轻同事都受到她的insp..."
1953	learning	/ˈlɜːnɪŋ/	verb, noun	学习	3	88	"张悦开始培养新入职的同事，传授工作技巧和职场经验。她告诉他们：""职场需要diligence(勤奋)和learning(学习)。我们用努力赢得机会，用能力证明自己。""她的指导帮助了许多新人成长。传承在此延续，她patient(耐心)地讲解，encourage(鼓励)进步精神。年轻同事都受到她的insp..."
1954	thirst	/θɜːst/	noun, verb	渴望	1	89	李明回想起自己步入大学校门的那一刻。那种对未来的expectation(期待)和对知识的thirst(渴望)，让他感到无比excited(兴奋)。他choose(选择)了积极参加各项活动，让自己的大学生活更加丰富多彩。他prepare(准备)充分，practice(练习)表达技巧。
1955	clumsy	/ˈklʌmzi/	noun, adjective	笨拙	1	90	这时，那位男生走过来，帮她一起清理。他的举动让她的心moved(感动)。encounter(邂逅)需要fate(缘分)。他gently(温柔)地递上纸巾，她对自己的clumsy(笨拙)感到surprised(惊讶)。相遇变得memorable(难忘)。
1956	embarrassed	/ɪmˈbæɹ.əst/	verb, adjective	尴尬	3	90	她try(尝试)集中注意力，但fail(无法)做到。阅读过程中，王瑶遇到了一个小插曲。她不小心碰倒了咖啡，弄脏了桌子和书本。她embarrassed(尴尬)地收拾残局，不知所措。
1957	flavor	/ˈfleɪvə/	noun, verb	味道	1	90	cozy(温馨)的咖啡店里，王瑶正read(阅读)着一本小说。作为一名文艺女青年，她喜欢在咖啡馆享受宁静的时光。窗外的阳光gentle(柔和)，映照着她peaceful(平静)的内心。每一页文字都带来心灵的触动，每一杯咖啡都承载着生活的flavor(味道)。
1958	immersed		verb, adjective	沉浸	1	90	她享受这样的时光。咖啡店里cozy(温馨)而安静，王瑶immersed(沉浸)在故事中。她内心平静而relaxed(放松)，享受着属于自己的时光。她always(总是)保持着对生活的love(热爱)，believe(相信)生活充满美好。
1959	relaxed	/ɹɪˈlækst/	verb, adjective	放松	2	90	她享受这样的时光。咖啡店里cozy(温馨)而安静，王瑶immersed(沉浸)在故事中。她内心平静而relaxed(放松)，享受着属于自己的时光。她always(总是)保持着对生活的love(热爱)，believe(相信)生活充满美好。
1960	abolish			废除	1	91	苏瑶establish(建立)了一个foundation(基金会)，assist(协助)那些victim(受害者)。她的initiative(倡议)获得了widespread(广泛的)支持。她的aim(目标)是abolish(废除)不公正，promote(促进)公平。她的capacity(能力)和c...
1961	accomplish			完成	1	91	"""你accomplish(完成)得很好，""她的ally(盟友)在anonymous(匿名的)信息中appreciate(感激)道，""继续advocate(提倡)正义。""苏瑶acknowledge(承认)这份assurance(保证)，继续pursue(追求)她的objective(目标)。"
1962	adequate			充足的	3	91	今晚的月色adequate(充足的)，星光点点。苏瑶站在落地窗前，analyze(分析)着当前的局势。她的ancestor(祖先)曾是这个城市最prominent(杰出的)企业家，而她如今却要avenue(途径)夺回属于自己的一切。她anticipate(预期)这条路会很艰难，但她ambitious...
1963	administrative			行政的	1	91	在接近corporate(公司的)总部的路上，苏瑶assess(评估)了可能遇到的asset(资产)和hazard(危险)。她arrange(安排)了一次interview(面试)，apply(申请)一个administrative(行政的)职位。她的aptitude(才能)和academic(学术...
1964	admiration			钦佩	1	91	在anniversary(周年纪念)那天，苏瑶host(主持)了一个ceremony(仪式)，celebrate(庆祝)她的triumph(胜利)。她的achievement(成就)被extensive(广泛的)coverage(报道)。她的insight(洞察力)和wisdom(智慧)让她earn...
1965	advocate			提倡	2	91	"""你accomplish(完成)得很好，""她的ally(盟友)在anonymous(匿名的)信息中appreciate(感激)道，""继续advocate(提倡)正义。""苏瑶acknowledge(承认)这份assurance(保证)，继续pursue(追求)她的objective(目标)。"
1966	afterward			之后	1	91	在这个prestigious(有声望的)晚宴上，苏瑶articulate(清晰地表达)了她的account(叙述)。audience(观众)们applaud(鼓掌)她的achievement(成就)和determination(决心)。她的故事inspire(激励)了numerous(许多的)人。a...
1967	aggregate			总计	1	91	在archive(档案)室里，苏瑶browse(浏览)着ancient(古老的)文件。她attain(达到)了一些accurate(准确的)信息。alternative(选择)的strategy(策略)在她的aggregate(总计)思考中emerge(出现)。她alleviate(减轻)了自己的a...
1968	aim			目标	1	91	苏瑶establish(建立)了一个foundation(基金会)，assist(协助)那些victim(受害者)。她的initiative(倡议)获得了widespread(广泛的)支持。她的aim(目标)是abolish(废除)不公正，promote(促进)公平。她的capacity(能力)和c...
1969	allege			断言	1	91	在architecture(建筑)宏伟的写字楼里，苏瑶attach(附上)了considerable(相当大的)的significance(意义)。她accumulate(积累)了abundant(丰富的)的data(数据)和evidence(证据)，这些document(文件)将allege(断言...
1970	alleviate			减轻	1	91	在archive(档案)室里，苏瑶browse(浏览)着ancient(古老的)文件。她attain(达到)了一些accurate(准确的)信息。alternative(选择)的strategy(策略)在她的aggregate(总计)思考中emerge(出现)。她alleviate(减轻)了自己的a...
1971	ancestor			祖先	1	91	今晚的月色adequate(充足的)，星光点点。苏瑶站在落地窗前，analyze(分析)着当前的局势。她的ancestor(祖先)曾是这个城市最prominent(杰出的)企业家，而她如今却要avenue(途径)夺回属于自己的一切。她anticipate(预期)这条路会很艰难，但她ambitious...
1972	anguish			痛苦	1	91	"""你真的ascertain(确定)要这么做吗？""她的助手阿明inquire(询问)道。apparent(明显的)，这是一条充满anguish(痛苦)的道路。artificial(人造的)假象已经allocate(分配)好，苏瑶assemble(集合)了自己的团队，attempt(尝试)完成这项ard..."
1973	apparently			显然地	1	91	"""你的qualification(资格)很adequate(足够的)，""面试官approve(批准)道，""你什么时候可以commence(开始)工作？""apparently(显然地)，苏瑶的 eloquent(雄辩的)谈吐和sophisticated(复杂的)商业perspective(观点)给面试..."
1974	appreciation			欣赏	2	91	在workshop(研讨会)上，苏瑶deliver(发表)了一次compelling(引人注目的)演讲。她的eloquent(雄辩的)语言capture(吸引)了audience(观众)的attention(注意)。她emphasize(强调)了integrity(正直)和justice(正义)的s...
1975	aptitude			才能	1	91	在接近corporate(公司的)总部的路上，苏瑶assess(评估)了可能遇到的asset(资产)和hazard(危险)。她arrange(安排)了一次interview(面试)，apply(申请)一个administrative(行政的)职位。她的aptitude(才能)和academic(学术...
1976	archive			档案	1	91	在archive(档案)室里，苏瑶browse(浏览)着ancient(古老的)文件。她attain(达到)了一些accurate(准确的)信息。alternative(选择)的strategy(策略)在她的aggregate(总计)思考中emerge(出现)。她alleviate(减轻)了自己的a...
1977	argument			论点	2	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
1978	arise			产生	2	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
1979	ascertain			确定	1	91	"""你真的ascertain(确定)要这么做吗？""她的助手阿明inquire(询问)道。apparent(明显的)，这是一条充满anguish(痛苦)的道路。artificial(人造的)假象已经allocate(分配)好，苏瑶assemble(集合)了自己的团队，attempt(尝试)完成这项ard..."
1980	assert			断言	1	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
1981	associate			联系	1	91	在这个prestigious(有声望的)晚宴上，苏瑶articulate(清晰地表达)了她的account(叙述)。audience(观众)们applaud(鼓掌)她的achievement(成就)和determination(决心)。她的故事inspire(激励)了numerous(许多的)人。a...
1982	assurance			保证	1	91	"""你accomplish(完成)得很好，""她的ally(盟友)在anonymous(匿名的)信息中appreciate(感激)道，""继续advocate(提倡)正义。""苏瑶acknowledge(承认)这份assurance(保证)，继续pursue(追求)她的objective(目标)。"
1983	attach			附上	1	91	在architecture(建筑)宏伟的写字楼里，苏瑶attach(附上)了considerable(相当大的)的significance(意义)。她accumulate(积累)了abundant(丰富的)的data(数据)和evidence(证据)，这些document(文件)将allege(断言...
1984	attain			达到	3	91	在archive(档案)室里，苏瑶browse(浏览)着ancient(古老的)文件。她attain(达到)了一些accurate(准确的)信息。alternative(选择)的strategy(策略)在她的aggregate(总计)思考中emerge(出现)。她alleviate(减轻)了自己的a...
1985	attempt			尝试	2	91	"""你真的ascertain(确定)要这么做吗？""她的助手阿明inquire(询问)道。apparent(明显的)，这是一条充满anguish(痛苦)的道路。artificial(人造的)假象已经allocate(分配)好，苏瑶assemble(集合)了自己的团队，attempt(尝试)完成这项ard..."
1986	attorney			律师	1	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
1987	audience			观众	2	91	在这个prestigious(有声望的)晚宴上，苏瑶articulate(清晰地表达)了她的account(叙述)。audience(观众)们applaud(鼓掌)她的achievement(成就)和determination(决心)。她的故事inspire(激励)了numerous(许多的)人。a...
1988	authentic			真实的	1	91	在archive(档案)室里，苏瑶browse(浏览)着ancient(古老的)文件。她attain(达到)了一些accurate(准确的)信息。alternative(选择)的strategy(策略)在她的aggregate(总计)思考中emerge(出现)。她alleviate(减轻)了自己的a...
1989	avenue			途径	1	91	今晚的月色adequate(充足的)，星光点点。苏瑶站在落地窗前，analyze(分析)着当前的局势。她的ancestor(祖先)曾是这个城市最prominent(杰出的)企业家，而她如今却要avenue(途径)夺回属于自己的一切。她anticipate(预期)这条路会很艰难，但她ambitious...
1990	browse			浏览	4	91	在archive(档案)室里，苏瑶browse(浏览)着ancient(古老的)文件。她attain(达到)了一些accurate(准确的)信息。alternative(选择)的strategy(策略)在她的aggregate(总计)思考中emerge(出现)。她alleviate(减轻)了自己的a...
1991	capacity			能力	2	91	苏瑶establish(建立)了一个foundation(基金会)，assist(协助)那些victim(受害者)。她的initiative(倡议)获得了widespread(广泛的)支持。她的aim(目标)是abolish(废除)不公正，promote(促进)公平。她的capacity(能力)和c...
1992	certificate			证书	3	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
1993	combat			战斗	1	91	"""每个人deserve(值得)公平，""她proclaim(宣称)道，""我们必须combat(战斗)不公正。""她的passion(热情)和conviction(信念)感染了countless(无数的)人。她的message(信息)是universal(普遍的)的——正义exist(存在)于每个人的心中..."
1994	commence			开始	1	91	"""你的qualification(资格)很adequate(足够的)，""面试官approve(批准)道，""你什么时候可以commence(开始)工作？""apparently(显然地)，苏瑶的 eloquent(雄辩的)谈吐和sophisticated(复杂的)商业perspective(观点)给面试..."
1995	compelling			引人注目的	1	91	在workshop(研讨会)上，苏瑶deliver(发表)了一次compelling(引人注目的)演讲。她的eloquent(雄辩的)语言capture(吸引)了audience(观众)的attention(注意)。她emphasize(强调)了integrity(正直)和justice(正义)的s...
1996	considerable			相当大的	2	91	在architecture(建筑)宏伟的写字楼里，苏瑶attach(附上)了considerable(相当大的)的significance(意义)。她accumulate(积累)了abundant(丰富的)的data(数据)和evidence(证据)，这些document(文件)将allege(断言...
1997	conviction			信念	1	91	"""每个人deserve(值得)公平，""她proclaim(宣称)道，""我们必须combat(战斗)不公正。""她的passion(热情)和conviction(信念)感染了countless(无数的)人。她的message(信息)是universal(普遍的)的——正义exist(存在)于每个人的心中..."
1998	corporate			公司的	1	91	在接近corporate(公司的)总部的路上，苏瑶assess(评估)了可能遇到的asset(资产)和hazard(危险)。她arrange(安排)了一次interview(面试)，apply(申请)一个administrative(行政的)职位。她的aptitude(才能)和academic(学术...
1999	destination			目的地	3	91	夜幕降临，苏瑶站在她spacious(宽敞的)别墅前，gaze(凝视)星空。她的journey(旅程)从humble(卑微的)起点到glorious(光荣的)的destination(目的地)，证明了perseverance(坚持)的力量。她accept(接受)了自己的fate(命运)，但never...
2000	documentary			记录的	1	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
2001	donate			捐赠	1	91	在subsequent(随后的)日子里，苏瑶occupy(占据)了considerable(相当大的)的portion(部分)时间advocate(提倡)她的philosophy(理念)。她contribute(贡献)于charity(慈善)事业，donate(捐赠)金钱和时间。她的generosi...
2002	earn			获得	8	91	在anniversary(周年纪念)那天，苏瑶host(主持)了一个ceremony(仪式)，celebrate(庆祝)她的triumph(胜利)。她的achievement(成就)被extensive(广泛的)coverage(报道)。她的insight(洞察力)和wisdom(智慧)让她earn...
2003	eloquent			雄辩的	2	91	"""你的qualification(资格)很adequate(足够的)，""面试官approve(批准)道，""你什么时候可以commence(开始)工作？""apparently(显然地)，苏瑶的 eloquent(雄辩的)谈吐和sophisticated(复杂的)商业perspective(观点)给面试..."
2004	erupt			爆发	2	91	"""正义prevail(盛行)！""主持人announce(宣布)道。全场erupt(爆发)出enthusiastic(热情的)的applause(掌声)。苏瑶attain(获得)了incredible(难以置信的)的recognition(认可)。她的reputation(名誉)从negative(消..."
2005	exist			存在	2	91	"""每个人deserve(值得)公平，""她proclaim(宣称)道，""我们必须combat(战斗)不公正。""她的passion(热情)和conviction(信念)感染了countless(无数的)人。她的message(信息)是universal(普遍的)的——正义exist(存在)于每个人的心中..."
2006	gaze	/ɡeɪz/	noun, verb	凝视	5	91	夜幕降临，苏瑶站在她spacious(宽敞的)别墅前，gaze(凝视)星空。她的journey(旅程)从humble(卑微的)起点到glorious(光荣的)的destination(目的地)，证明了perseverance(坚持)的力量。她accept(接受)了自己的fate(命运)，但never...
2007	generosity	/ˌd͡ʒɛnəˈɹɒsɪti/	noun	慷慨	2	91	在subsequent(随后的)日子里，苏瑶occupy(占据)了considerable(相当大的)的portion(部分)时间advocate(提倡)她的philosophy(理念)。她contribute(贡献)于charity(慈善)事业，donate(捐赠)金钱和时间。她的generosi...
2008	hazard	/ˈhazəd/	noun, verb	危险	2	91	在接近corporate(公司的)总部的路上，苏瑶assess(评估)了可能遇到的asset(资产)和hazard(危险)。她arrange(安排)了一次interview(面试)，apply(申请)一个administrative(行政的)职位。她的aptitude(才能)和academic(学术...
2009	host	/həʊst/	noun, verb	主持	7	91	在anniversary(周年纪念)那天，苏瑶host(主持)了一个ceremony(仪式)，celebrate(庆祝)她的triumph(胜利)。她的achievement(成就)被extensive(广泛的)coverage(报道)。她的insight(洞察力)和wisdom(智慧)让她earn...
2010	incredible	/ɪŋˈkɹɛdɪbəl/	adjective	难以置信的	1	91	"""正义prevail(盛行)！""主持人announce(宣布)道。全场erupt(爆发)出enthusiastic(热情的)的applause(掌声)。苏瑶attain(获得)了incredible(难以置信的)的recognition(认可)。她的reputation(名誉)从negative(消..."
2011	inner		noun, adjective	内心的	1	91	夜幕降临，苏瑶站在她spacious(宽敞的)别墅前，gaze(凝视)星空。她的journey(旅程)从humble(卑微的)起点到glorious(光荣的)的destination(目的地)，证明了perseverance(坚持)的力量。她accept(接受)了自己的fate(命运)，但never...
2012	legacy	/ˈleɪɡəsi/	noun, adjective	遗产	2	91	这位女孩eventually(最终)成为了苏瑶的protege(被保护者)，dedicate(奉献)自己的生命pursue(追求)正义。thus(因此)，苏瑶的legacy(遗产)得以perpetuate(使永存)。她的influence(影响)将endure(持续)到future(未来)。
2013	nevertheless	/ˈnɛvəðəlɛs/	adverb	然而	1	91	夜幕降临，苏瑶站在她spacious(宽敞的)别墅前，gaze(凝视)星空。她的journey(旅程)从humble(卑微的)起点到glorious(光荣的)的destination(目的地)，证明了perseverance(坚持)的力量。她accept(接受)了自己的fate(命运)，但never...
2014	objective	/ɒbˈd͡ʒɛk.tɪv/	noun, adjective	目标	1	91	"""你accomplish(完成)得很好，""她的ally(盟友)在anonymous(匿名的)信息中appreciate(感激)道，""继续advocate(提倡)正义。""苏瑶acknowledge(承认)这份assurance(保证)，继续pursue(追求)她的objective(目标)。"
2015	occupation	/ɒkjəˈpeɪʃən/	noun	职业	1	91	在接近corporate(公司的)总部的路上，苏瑶assess(评估)了可能遇到的asset(资产)和hazard(危险)。她arrange(安排)了一次interview(面试)，apply(申请)一个administrative(行政的)职位。她的aptitude(才能)和academic(学术...
2016	perpetuate		verb, adjective	使永存	1	91	这位女孩eventually(最终)成为了苏瑶的protege(被保护者)，dedicate(奉献)自己的生命pursue(追求)正义。thus(因此)，苏瑶的legacy(遗产)得以perpetuate(使永存)。她的influence(影响)将endure(持续)到future(未来)。
2017	portion	/ˈpoəɹʃən/	noun, verb	部分	1	91	在subsequent(随后的)日子里，苏瑶occupy(占据)了considerable(相当大的)的portion(部分)时间advocate(提倡)她的philosophy(理念)。她contribute(贡献)于charity(慈善)事业，donate(捐赠)金钱和时间。她的generosi...
2018	proclaim	/pɹoʊˈkleɪm/	verb	宣称	1	91	"""每个人deserve(值得)公平，""她proclaim(宣称)道，""我们必须combat(战斗)不公正。""她的passion(热情)和conviction(信念)感染了countless(无数的)人。她的message(信息)是universal(普遍的)的——正义exist(存在)于每个人的心中..."
2019	protege	/ˈpɹɒtəˌʒeɪ/	noun	被保护者	1	91	这位女孩eventually(最终)成为了苏瑶的protege(被保护者)，dedicate(奉献)自己的生命pursue(追求)正义。thus(因此)，苏瑶的legacy(遗产)得以perpetuate(使永存)。她的influence(影响)将endure(持续)到future(未来)。
2020	subsequent	/ˈsʌbsəkwənt/	adjective	随后的	2	91	"""这些certificate(证书)和documentary(记录的)材料assert(断言)了他们的guilt(罪行)，""苏瑶arise(产生)了argument(论点)，""正义await(等待)着我们。""她的attorney(律师)表示agreement(同意)，并arrange(安排)了sub..."
2021	symbolizing		verb, noun	象征	1	91	"""正义exist(存在)，""她whisper(低语)，""只要我们believe(相信)。""她的voice(声音)在silent(寂静的)夜里echo(回响)，symbolizing(象征)一个新era(时代)的beginning(开始)。苏瑶的tale(故事)将inspire(激励)无数genera..."
2022	tale	/ˈteɪl/	noun	故事	12	91	"""正义exist(存在)，""她whisper(低语)，""只要我们believe(相信)。""她的voice(声音)在silent(寂静的)夜里echo(回响)，symbolizing(象征)一个新era(时代)的beginning(开始)。苏瑶的tale(故事)将inspire(激励)无数genera..."
2023	thus	/ˈðʌs/	adverb	因此	1	91	这位女孩eventually(最终)成为了苏瑶的protege(被保护者)，dedicate(奉献)自己的生命pursue(追求)正义。thus(因此)，苏瑶的legacy(遗产)得以perpetuate(使永存)。她的influence(影响)将endure(持续)到future(未来)。
2024	triumph	/ˈtɹaɪ.ʌmf/	noun	胜利	2	91	在anniversary(周年纪念)那天，苏瑶host(主持)了一个ceremony(仪式)，celebrate(庆祝)她的triumph(胜利)。她的achievement(成就)被extensive(广泛的)coverage(报道)。她的insight(洞察力)和wisdom(智慧)让她earn...
2025	ultimately	/ˈʌltɪmətli/	adverb	最终	1	91	夜幕降临，苏瑶站在她spacious(宽敞的)别墅前，gaze(凝视)星空。她的journey(旅程)从humble(卑微的)起点到glorious(光荣的)的destination(目的地)，证明了perseverance(坚持)的力量。她accept(接受)了自己的fate(命运)，但never...
2026	universal	/ˌjuːnɪˈvɜːsl̩/	noun, adjective	普遍的	1	91	"""每个人deserve(值得)公平，""她proclaim(宣称)道，""我们必须combat(战斗)不公正。""她的passion(热情)和conviction(信念)感染了countless(无数的)人。她的message(信息)是universal(普遍的)的——正义exist(存在)于每个人的心中..."
2027	widespread		adjective	广泛的	1	91	苏瑶establish(建立)了一个foundation(基金会)，assist(协助)那些victim(受害者)。她的initiative(倡议)获得了widespread(广泛的)支持。她的aim(目标)是abolish(废除)不公正，promote(促进)公平。她的capacity(能力)和c...
2028	workshop			研讨会	1	91	在workshop(研讨会)上，苏瑶deliver(发表)了一次compelling(引人注目的)演讲。她的eloquent(雄辩的)语言capture(吸引)了audience(观众)的attention(注意)。她emphasize(强调)了integrity(正直)和justice(正义)的s...
2029	backbone			脊梁	2	92	某天，叶婉在书房里browse(浏览)书籍时，发现了一本关于顾总家族企业的biography(传记)。书中记载了他如何在bankrupt(破产)的边缘力挽狂澜，如何带领公司boom(繁荣)发展。他的backbone(脊梁)非常坚强，是个bold(勇敢)的board(董事会)成员。这些信息benefi...
2030	baffle			困惑	1	92	"傍晚时分，顾总回到家中。他的background(背景)十分复杂，是一位bachelor(单身汉)，继承了家族企业。叶婉注意到他behave(表现)得非常blunt(直率)，说话简洁有力。""晚饭已经准备好。""他的话语简短而冷淡，仿佛在bargain(讨价还价)什么似的。叶婉blush(脸红)着点头，..."
2031	bargain			讨价还价	3	92	"傍晚时分，顾总回到家中。他的background(背景)十分复杂，是一位bachelor(单身汉)，继承了家族企业。叶婉注意到他behave(表现)得非常blunt(直率)，说话简洁有力。""晚饭已经准备好。""他的话语简短而冷淡，仿佛在bargain(讨价还价)什么似的。叶婉blush(脸红)着点头，..."
2032	baseball			棒球	1	92	"在结婚anniversary(周年纪念)那天，顾总准备了一个brilliant(精彩的)惊喜。他们一起去看了baseball(棒球)比赛，在breeze(微风)中享受着broad(广阔)的天空。""谢谢你，""顾总说，""是你让我become(成为)更好的人。"""
2033	beam			光线	1	92	今天是她搬进来的第一天。清晨的阳光beam(光线)透过窗帘洒入房间，叶婉breathe(呼吸)着新鲜的空气。客厅里摆放着一个brass(黄铜)制成的装饰品，彰显着主人的品味。她browse(浏览)着房间的每个角落，试图balance(平衡)自己的情绪。墙上挂着一幅brilliant(精彩)的画作，画...
2034	bearing			举止	1	92	叶婉知道，未来的路还很长。她brave(勇敢)地面对每一个barrier(障碍)，因为她有backbone(骨气)。她的bearing(举止)越来越brisk(活泼)，生活越来越bright(明亮)。这就是爱情的力量，让bored(无聊)的生活变得brilliant(辉煌)。
2035	become			成为	1	92	"在结婚anniversary(周年纪念)那天，顾总准备了一个brilliant(精彩的)惊喜。他们一起去看了baseball(棒球)比赛，在breeze(微风)中享受着broad(广阔)的天空。""谢谢你，""顾总说，""是你让我become(成为)更好的人。"""
2036	behave			表现	1	92	"傍晚时分，顾总回到家中。他的background(背景)十分复杂，是一位bachelor(单身汉)，继承了家族企业。叶婉注意到他behave(表现)得非常blunt(直率)，说话简洁有力。""晚饭已经准备好。""他的话语简短而冷淡，仿佛在bargain(讨价还价)什么似的。叶婉blush(脸红)着点头，..."
2037	belief			信念	1	92	"婚礼现场，bunch(束)鲜bloom(花)装饰着每个bracket(括号)形的拱门。宾客们burst(爆发)出applaud(掌声)，祝福这对beloved(爱人)。叶婉在broadcast(广播)中说出了她的belief(信念)：""契约可以变成真情，冷漠可以被真心blaze(闪耀)融化。""这段话..."
2038	beloved			心爱的人	4	92	"顾总牵着叶婉的手，深情地说：""我曾经believe(相信)自己不需要爱情，但你的出现bless(祝福)了我的生活。你是我的beloved(心爱的人)。""叶婉burst(爆发)出幸福的泪水，她感到自己belong(属于)这里，属于他。"
